"ch99_code","rate","authority","country_type","countries","general_raw","other_raw","description"
"9903.17.04",,"other","all","","","","Eligible to be imported under the fourth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.05",,"other","all","","","","Eligible to be imported under the fifth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.06",,"other","all","","","","Eligible to be imported under the sixth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.07",,"other","all","","","","Eligible to be imported under the seven quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.08",,"other","all","","","","Eligible to be imported under the eighth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.09",,"other","all","","","","Eligible to be imported under the ninth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.10",,"other","all","","","","Eligible to be imported under the tenth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.21",,"other","all","","","","Eligible to be imported under the first quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.22",,"other","all","","","","Eligible to be imported under the second quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.23",,"other","all","","","","Eligible to be imported under the third quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.24",,"other","all","","","","Eligible to be imported under the fourth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.25",,"other","all","","","","Eligible to be imported under the fifth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.26",,"other","all","","","","Eligible to be imported under the sixth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.27",,"other","all","","","","Eligible to be imported under the seventh quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.28",,"other","all","","","","Eligible to be imported under the eighth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.29",,"other","all","","","","Eligible to be imported under the ninth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.30",,"other","all","","","","Eligible to be imported under the tenth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.31",,"other","all","","","","Eligible to be imported under the eleventh quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.32",,"other","all","","","","Eligible to be imported under the twelfth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.33",,"other","all","","","","Eligible to be imported under the thirteenth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.18.01",,"other","all","","","","Eligible to be imported under the first quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.18.02",,"other","all","","","","Eligible to be imported under the second quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.18.03",,"other","all","","","","Eligible to be imported under the third quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.18.04",,"other","all","","","","Eligible to be imported under the fourth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.18.05",,"other","all","","","","Eligible to be imported under the fifth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.18.06",,"other","all","","","","Eligible to be imported under the sixth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.18.07",,"other","all","","","","Eligible to be imported under the seventh quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.18.08",,"other","all","","","","Eligible to be imported under the eighth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.18.09",,"other","all","","","","Eligible to be imported under the ninth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.18.10",,"other","all","","","","Eligible to be imported under the tenth quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.19.19",,"other","all","","Free","No change","Provided for in subheading 1901.10.16, 1901.10.26, 1901.10.36 or 1901.10.44"
"9903.19.20",,"other","all","","Free","No change","Provided for in subheading 1901.10.29 or 1901.10.49"
"9903.19.21",,"other","all","","Free","No change","Provided for in subheading 2106.90.97"
"9903.19.22",,"other","all","","Free","No change","Provided for in subheading 2106.90.99"
"9903.19.23",,"other","all","","Free","No change","Provided for in subheading 1901.90.62 [Compiler's note: Subheading was enacted; expired at the close of Dec. 31, 2022]"
"9903.27.01","1","other","all","","100%","","Distillate and residual fuel oils (including blended fuel oils) and wastes of distillate and residual fuel oils (whether or not blended) (provided for in subheading 2710.19.06, 2710.19.11, 2710.20.05,"
"9903.27.02","1","other","all","","100%","","Rare gases, other than argon (provided for in subheading 2804.29.00)"
"9903.27.03","1","other","all","","100%","","Germanium oxides and zirconium dioxide (provided for in subheading 2825.60.00)"
"9903.27.04","1","other","all","","100%","","Carbides of silicon (provided for in subheading 2849.20.10 or 2849.20.20)"
"9903.27.05","1","other","all","","100%","","Other mineral or chemical fertilizers, containing nitrates and phosphates (provided for in subheading 3105.51.00)"
"9903.27.06","1","other","all","","100%","","Pigments and preparations based on titanium dioxide (provided for in subheading 3206.11.00 or 3206.19.00)"
"9903.27.07","1","other","all","","100%","","Other uncoated, unbleached kraft paper and paperboard, in rolls or sheets, weighing 225 g/m2 or more (provided for in subheading 4804.51.00)"
"9903.27.08","1","other","all","","100%","","Other footwear with outer soles of rubber, plastics or composition leather and uppers of leather (provided for in subheading 6403.99.60, 6403.99.75 or 6403.99.90)"
"9903.27.09","1","other","all","","100%","","Other footwear with outer soles of rubber or plastics and uppers of textile materials, with open toes or open heels, or of the slip-on type (provided for in subheading 6404.19.35)"
"9903.27.10","1","other","all","","100%","","Diamonds, unsorted (provided for in subheading 7102.10.00)"
"9903.27.11","1","other","all","","100%","","Diamonds, nonindustrial (provided for in subheading 7102.31.00 or 7102.39.00)"
"9903.27.12","1","other","all","","100%","","Catalysts in the form of wire cloth or grill, of platinum (provided for in subheading 7115.10.00)"
"9903.27.13","1","other","all","","100%","","Unrefined copper; copper anodes for electrolytic refining (provided for in heading 7402.00.00)"
"9903.27.14","1","other","all","","100%","","Other unwrought aluminum alloys (provided for in subheading 7601.20.90)"
"9903.27.15","1","other","all","","100%","","Other refrigerating or freezing equipment; heat pumps (provided for in subheading 8418.69.00)"
"9903.40.05","0.25","section_201","all","","25%","","Radial tires of a kind used on motor cars (other than racing cars), station wagons, sport utility vehicles, vans and on-the-highway light trucks (provided for in subheading 4011.10.10 or 4011.20.10)"
"9903.40.10","0.25","section_201","all","","25%","","Other tires of a kind used on motor cars (other than racing cars), station wagons, sport utility vehicles, vans and on-the-highway light trucks (provided for in subheading 4011.10.50 or 4011.20.50)"
"9903.41.05","0.4","section_201","all","","40%","","Bovine (including buffalo) and equine leather (provided for in heading 4104 or 4107); goat, kid, sheep and lamb leather, the foregoing dyed, colored, stamped or embossed (provided for in heading 4105,"
"9903.41.10","0.4","section_201","all","","40%","","Footwear with outer soles of leather and uppers wholly or in part of leather, and footwear with outer soles of rubber or plastics and uppers having an exterior surface area predominantly of leather, t"
"9903.41.15","1","section_201","all","","100%","","Automatic data processing machines, of the type of which the constituent units are integrated in the same housing, whether finished or unfinished, which incorporate a microprocessor-based calculating "
"9903.41.20","1","section_201","all","","100%","","Having a microprocessor-based calculating mechanism capable of directly handling memory of over 8 megabits (provided for in subheading 8471.49.10 or 8471.50)"
"9903.41.25","1","section_201","all","","100%","","Having a microprocessor-based calculating mechanism capable of directly handling memory of not over 8 megabits (provided for in subheading 8471.49.10 or 8471.50)"
"9903.41.30","1","section_201","all","","100%","","Electropneumatic rotary and percussion hammers (provided for in subheading 8467.29)"
"9903.41.35","1","section_201","all","","100%","","Other (provided for in subheading 8467.21 or 8467.29)"
"9903.41.40","1","section_201","all","","100%","","Complete color television receivers containing in a single housing apparatus for receiving and displaying off-the-air each standard U.S. broadcast channel, with or without external speakers, having a "
"9903.41.45","1","section_201","all","","100%","","Complete color television receivers containing in a single housing apparatus for receiving and displaying off-the-air each standard U.S. broadcast channel, with or without external speakers, having a "
"9903.45.01","0.14","section_201","all","","14%","55%","If entered in an aggregate quantity, in any quarterly period specified in note 17(i) to this subchapter, not exceeding 300,000 units in any such quarterly period, under the terms of such note"
"9903.45.02","0.3","section_201","all","","30%","85%","Other"
"9903.45.05",,"section_201","all","","No change","No change","If entered in an annual aggregate quantity not exceeding the quantity specified in note 17(g) to this subchapter, under the terms of such note"
"9903.45.06","0.3","section_201","all","","30%","90%","Other"
"9903.45.21",,"section_201","all","","No change","No change","If entered in an annual aggregate quantity not exceeding 12.5 gigawatts, under the terms of such note"
"9903.45.22","0.3","section_201","all","","30%","65%","Other"
"9903.45.25","0.3","section_201","all","","30%","30%","Modules as defined in note 18(g) to this subchapter, when the product or originating good of a country other than a country described in note 18(b) to this subchapter, except as provided in heading 99"
"9903.45.27",,"section_201","all","","No change","","Crystalline silicon photovoltaic cells, as defined in note 18(c) to this subchapter, and modules as defined in note 18(g) to this subchapter, all the foregoing when the product and originating good of"
"9903.45.29",,"section_201","all","","No change","No change","Bifacial solar panels, as defined in and meeting the conditions of U.S. note 18(j) to this subchapter, that absorb light and generate electricity on each side of the panel and that consist of only bif"
"9903.52.00",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Limited Global Import Quota Announcement"
"9903.52.01",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 1"
"9903.52.02",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 2"
"9903.52.03",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 3"
"9903.52.04",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 4"
"9903.52.05",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 5"
"9903.52.06",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 6"
"9903.52.07",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 7"
"9903.52.08",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 8"
"9903.52.09",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 9"
"9903.52.10",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 10"
"9903.52.11",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 11"
"9903.52.12",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 12"
"9903.52.13",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 13"
"9903.52.14",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 14"
"9903.52.15",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 15"
"9903.52.16",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 16"
"9903.52.17",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 17"
"9903.52.18",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 18"
"9903.52.19",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 19"
"9903.52.20",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 20"
"9903.52.21",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 21"
"9903.52.22",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 22"
"9903.52.23",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 23"
"9903.52.24",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 24"
"9903.52.25",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 25"
"9903.52.26",,"other","all","","","","Purchased and entered pursuant to the Secretary of Agriculture's Special Cotton Import Quota Announcement Number 26"
"9903.53.01","0.1","other","all","","10%","","Softwood lumber products described in U.S. note 13 to this subchapter, whose Region of Origin is Manitoba, Ontario, Quebec or Saskatchewan"
"9903.55.01",,"other","all","","Free","No change","Entered under temporary importation bond in aggregate quantities not exceeding the amount specified in U.S. note 32(a) to this subchapter for any period specified in such note, when the product of any"
"9903.80.01","0.25","section_232","all_except","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Except for derivative iron or steel products described in heading 9903.80.03, products of iron or steel provided for in the tariff headings or subheadings enumerated in note 16 to this subchapter, exc"
"9903.80.03","0.25","section_232","all_except","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Derivative iron or steel products enumerated in U.S. note 16(a)(ii) to this subchapter, except products of Argentina, of Australia, of Brazil, of Canada, of Mexico (as specified in subdivision (h)(ii)"
"9903.80.05",,"section_232","all","","Free","","Hot-rolled sheet, provided for in subheading 7208.10.60, 7208.26.00, 7208.27.00, 7208.38.00, 7208.39.00, 7208.40.60, 7208.53.00, 7208.54.00, 7208.90.00, 7225.30.70 or 7225.40.70"
"9903.80.06",,"section_232","all","","Free","","Hot-rolled strip, provided for in subheading 7211.19.15, 7211.19.20, 7211.19.30, 7211.19.45, 7211.19.60, 7211.19.75, 7226.91.70 or 7226.91.80"
"9903.80.07",,"section_232","all","","Free","","Hot-rolled plate, in coils, provided for in subheading 7208.10.15, 7208.10.30, 7208.25.30, 7208.25.60, 7208.36.00, 7208.37.00, 7211.14.00 (except for statistical reporting numbers 7211.14.0030 and 721"
"9903.80.08",,"section_232","all","","Free","","Cold-rolled sheet and other products, provided for in subheading 7209.15.00, 7209.16.00, 7209.17.00, 7209.18.15, 7209.18.60, 7209.25.00, 7209.26.00, 7209.27.00, 7209.28.00, 7209.90.00, 7210.70.30, 722"
"9903.80.09",,"section_232","all","","Free","","Cold-rolled strip and other products, provided for in subheading 7211.23.15, 7211.23.20, 7211.23.30, 7211.23.45, 7211.23.60, 7211.29.20, 7211.29.45, 7211.29.60, 7211.90.00, 7212.40.10, 7212.40.50, 722"
"9903.80.10",,"section_232","all","","Free","","Cold-rolled black plate, provided for in subheading 7209.18.25"
"9903.80.11",,"section_232","all","","Free","","Plate in cut lengths, provided for in subheading 7208.40.30, 7208.51.00, 7208.52.00, 7210.90.10, 7211.13.00, 7211.14.00 (except for statistical reporting number 7211.14.0090), 7225.40.30, 7225.50.60 o"
"9903.80.12",,"section_232","all","","Free","","Flat-rolled products, hot-dipped, provided for in subheading 7210.41.00, 7210.49.00, 7210.70.60 (except for statistical reporting numbers 7210.70.6030 and 7210.70.6090), 7212.30.10, 7212.30.30, 7212.3"
"9903.80.13",,"section_232","all","","Free","","Flat-rolled products, coated, provided for in subheading 7210.20.00, 7210.61.00, 7210.69.00, 7210.70.60 (except for statistical reporting numbers 7210.70.6030 and 7210.70.6060), 7210.90.60, 7210.90.90"
"9903.80.14",,"section_232","all","","Free","","Tin-free steel, provided for in subheading 7210.50.00"
"9903.80.15",,"section_232","all","","Free","","Tin plate, provided for in subheading 7210.11.00, 7210.12.00 or 7212.10.00"
"9903.80.16",,"section_232","all","","Free","","Silicon electrical steel sheets and strip, provided for in subheading 7225.11.00, 7225.19.00, 7226.11.10, 7226.11.90, 7226.19.10 or 7226.19.90"
"9903.80.17",,"section_232","all","","Free","","Sheets and strip electrolytically coated or plated with zinc, provided for in subheading 7210.30.00, 7210.70.60 (except for statistical reporting numbers 7210.70.6060 and 7210.70.6090), 7212.20.00, 72"
"9903.80.18",,"section_232","all","","Free","","Oil country pipe and tube goods, provided for in subheading 7304.23.30, 7304.23.60, 7304.29.10, 7304.29.20, 7304.29.31, 7304.29.41, 7304.29.50, 7304.29.61, 7305.20.20, 7305.20.40, 7305.20.60, 7305.20."
"9903.80.19",,"section_232","all","","Free","","Line pipe exceeding 406.4 mm in outside diameter, provided for in subheading 7304.19.10 (except for statistical reporting numbers 7304.19.1020, 7304.19.1030, 7304.19.1045 and 7304.19.1060), 7304.19.50"
"9903.80.20",,"section_232","all","","Free","","Line pipe not exceeding 406.4 mm in outside diameter, provided for in subheading 7304.19.10 (except for statistical reporting number 7304.19.1080), 7304.19.50 (except for statistical reporting number "
"9903.80.21",,"section_232","all","","Free","","Other line pipe, provided for in subheading 7306.19.10 (except for statistical reporting number 7306.19.1010) or 7306.19.51 (except for statistical reporting number 7306.19.5110)"
"9903.80.22",,"section_232","all","","Free","","Standard pipe, provided for in subheading 7304.39.00 (except for statistical reporting numbers 7304.39.0002, 7304.39.0004, 7304.39.0006, 7304.39.0008, 7304.39.0028, 7304.39.0032, 7304.39.0040, 7304.39"
"9903.80.23",,"section_232","all","","Free","","Structural pipe and tube, provided for in subheading 7304.90.10, 7304.90.30, 7305.31.20, 7305.31.40, 7305.31.60 (except for statistical reporting number 7305.31.6010), 7306.30.30, 7306.50.30, 7306.61."
"9903.80.24",,"section_232","all","","Free","","Mechanical tubing and other products, provided for in subheading 7304.31.30, 7304.31.60 (except for statistical reporting number 7304.31.6010), 7304.39.00 (except for statistical reporting numbers 730"
"9903.80.25",,"section_232","all","","Free","","Pressure tubing and other products, provided for in subheading 7304.31.60 (except for statistical reporting number 7304.31.6050), 7304.39.00 (except for statistical reporting numbers 7304.39.0016, 730"
"9903.80.26",,"section_232","all","","Free","","Tubes or pipes for piling and other products, provided for in subheading 7305.39.10 or 7305.39.50"
"9903.80.27",,"section_232","all","","Free","","Pipes and tubes, not specially provided for, provided for in subheading 7304.51.50 (except for statistical reporting numbers 7304.51.5015, 7304.51.5045 and 7304.51.5060), 7305.90.10, 7305.90.50, 7306."
"9903.80.28",,"section_232","all","","Free","","Hot-rolled sheet of stainless steel, provided for in subheading 7219.13.00, 7219.14.00, 7219.23.00 or 7219.24.00"
"9903.80.29",,"section_232","all","","Free","","Hot-rolled strip of stainless steel and other products, provided for in subheading 7220.12.10 or 7220.12.50"
"9903.80.30",,"section_232","all","","Free","","Hot-rolled plate of stainless steel, in coils, and other products, provided for in subheading 7219.11.00 or 7219.12.00"
"9903.80.31",,"section_232","all","","Free","","Cold-rolled sheet of stainless steel and other products, provided for in subheading 7219.32.00, 7219.33.00, 7219.34.00, 7219.35.00 or 7219.90.00"
"9903.80.32",,"section_232","all","","Free","","Cold-rolled strip of stainless steel, provided for in subheading 7220.20.10, 7220.20.60, 7220.20.70, 7220.20.80, 7220.20.90 or 7220.90.00"
"9903.80.33",,"section_232","all","","Free","","Cold-rolled plate of stainless steel, in coils, provided for in subheading 7219.31.00 (except for statistical reporting number 7219.31.0050)"
"9903.80.34",,"section_232","all","","Free","","Wire of stainless steel, drawn, provided for in subheading 7223.00.10, 7223.00.50 or 7223.00.90"
"9903.80.35",,"section_232","all","","Free","","Pipes and tubes of stainless steel, provided for in subheading 7304.41.30, 7304.41.60, 7304.49.00, 7305.31.60 (except for statistical reporting number 7305.31.6090), 7306.40.10, 7306.40.50, 7306.61.70"
"9903.80.36",,"section_232","all","","Free","","Line pipe of stainless steel, provided for in subheading 7304.11.00 or 7306.11.00"
"9903.80.37",,"section_232","all","","Free","","Bars and rods of stainless steel, cold finished, provided for in subheading 7222.20.00 or 7222.30.00"
"9903.80.38",,"section_232","all","","Free","","Bars and rods of stainless steel, hot-rolled, provided for in heading 7221.00.00 (except for statistical reporting numbers 7221.00.0017, 7221.00.0018 and 7221.00.0030) or subheading 7222.11.00, 7222.1"
"9903.80.39",,"section_232","all","","Free","","Blooms, billets and slabs of stainless steel and other products, provided for in subheading 7218.91.00 and 7218.99.00"
"9903.80.40",,"section_232","all","","Free","","Oil country pipe and tube goods of stainless steel and other products, provided for in subheading 7304.22.00, 7304.24.30, 7304.24.40, 7304.24.60, 7306.21.30, 7306.21.40 or 7306.21.80"
"9903.80.41",,"section_232","all","","Free","","Ingot and other primary forms of stainless steel, provided for in subheading 7218.10.00"
"9903.80.42",,"section_232","all","","Free","","Flat-rolled products of stainless steel, provided for in subheading 7219.21.00, 7219.22.00, 7219.31.00 (except for statistical reporting number 7219.31.0010) or 7220.11.00"
"9903.80.43",,"section_232","all","","Free","","Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel, provided for in heading 7221.00.00 (except for statistical reporting numbers 7221.00.0005, 7221.00.0045 and 7221.00.0075)"
"9903.80.44",,"section_232","all","","Free","","Angles, shapes and sections of stainless steel, provided for in subheading 7222.40.30 (except for statistical reporting numbers 7222.40.3065 and 7222.40.3085) or 7222.40.60"
"9903.80.45",,"section_232","all","","Free","","Angles, shapes and sections, provided for in subheading 7216.31.00, 7216.32.00, 7216.33.00, 7216.40.00, 7216.50.00, 7216.99.00, 7228.70.30 (except for statistical reporting numbers 7228.70.3060 and 72"
"9903.80.46",,"section_232","all","","Free","","Bars and rods, hot-rolled, in irregularly wound coils, provided for in subheading 7213.91.30, 7213.91.45, 7213.91.60, 7213.99.00 (except for statistical reporting number 7213.99.0060), 7227.20.00 (exc"
"9903.80.47",,"section_232","all","","Free","","Wire (other than of stainless steel), provided for in subheading 7217.10.10, 7217.10.20, 7217.10.30, 7217.10.40, 7217.10.50, 7217.10.60, 7217.10.70, 7217.10.80, 7217.10.90, 7217.20.15, 7217.20.30, 721"
"9903.80.48",,"section_232","all","","Free","","Bars, hot-rolled, not of stainless steel, provided for in subheading 7213.20.00, 7213.99.00 (except for statistical reporting numbers 7213.99.0030 and 7213.99.0090), 7214.10.00, 7214.30.00, 7214.91.00"
"9903.80.49",,"section_232","all","","Free","","Bars, cold-finished, not of stainless steel, provided for in subheading 7215.10.00, 7215.50.00, 7215.90.30, 7215.90.50, 7228.20.50, 7228.50.50 or 7228.60.80"
"9903.80.50",,"section_232","all","","Free","","Angles, shapes and sections of a type known as â€œlight-shaped barsâ€ and other products, provided for in subheading 7216.10.00, 7216.21.00, 7216.22.00 or 7228.70.30 (except for statistical reporting"
"9903.80.51",,"section_232","all","","Free","","Reinforcing bars, provided for in subheading 7213.10.00, 7214.20.00 or 7228.30.80 (except for statistical reporting numbers 7228.30.8005, 7228.30.8015, 7228.30.8041, 7228.30.8045 and 7228.30.8070)"
"9903.80.52",,"section_232","all","","Free","","Sheet piling, provided for in subheading 7301.10.00"
"9903.80.53",,"section_232","all","","Free","","Nonenumerated railroad goods, provided for in subheading 7302.40.00, 7302.90.10 and 7302.90.90"
"9903.80.54",,"section_232","all","","Free","","Rails other than those known as â€œstandard rails,â€ provided for in subheading 7302.10.10 (except for statistical reporting numbers 7302.10.1010, 7302.10.1035, 7302.10.1065 and 7302.10.1075)"
"9903.80.55",,"section_232","all","","Free","","Rails known as â€œstandard rails,â€ provided for in subheading 7302.10.10 (except for statistical reporting numbers 7302.10.1015, 7302.10.1025, 7302.10.1045 and 7302.10.1055) or 7302.10.50"
"9903.80.56",,"section_232","all","","Free","","Products of tool steel and other products, provided for in subheading 7224.10.00 (except for statistical reporting numbers 7224.10.0005 and 7224.10.0075), 7224.90.00 (except for statistical reporting "
"9903.80.57",,"section_232","all","","Free","","Blooms, billets and slabs, semi-finished, provided for in subheading 7207.11.00, 7207.12.00, 7207.19.00, 7207.20.00 or 7224.90.00 (except for statistical reporting numbers 7224.90.0015, 7224.90.0025, "
