revision,effective_date,policy_effective_date,policy_event,needs_review
basic,2025-01-01,NA,Baseline (pre-Trump 2.0),NA
rev_1,2025-01-27,2025-02-04,China IEEPA fentanyl (+10%; EO 14195 eff. Feb 4),NA
rev_2,2025-02-01,2025-02-05,NA,NA
rev_3,2025-02-04,2025-03-04,CA/MX fentanyl (+25%) and China fentanyl (+20%) eff. Mar 4 after the February pause,NA
rev_4,2025-03-04,2025-03-07,USMCA carve-outs (Mar 7); 232 derivatives text (Mar 12 items held by stated-date gate until rev_5),NA
rev_5,2025-03-05,2025-03-14,NA,NA
rev_6,2025-03-12,2025-04-03,232 Autos (25%; Proclamation 10908 eff. Apr 3),NA
rev_7,2025-04-02,2025-04-05,IEEPA Phase 1 reciprocal (Liberation Day; 10% baseline eff. Apr 5; Apr-9 country rates held by stated-date gate until rev_8),NA
rev_8,2025-04-03,2025-04-09,China IEEPA: 34% -> 84%; country-specific Phase 1 rates begin,NA
rev_9,2025-04-05,2025-04-10,China IEEPA: 84% -> 125%; Phase 1 suspended (90-day pause),NA
rev_10,2025-04-09,2025-04-15,Phase 1 suspension continues; retroactive Apr-5 electronics memo (covered by Annex II exemption windows),NA
rev_11,2025-04-11,2025-05-03,232 Auto parts (eff. May 3),NA
rev_12,2025-04-14,2025-05-14,Geneva: China 125% -> 34% suspended to 10% (EO 14298 eff. May 14),NA
rev_13,2025-04-22,2025-05-16,NA,NA
rev_14,2025-05-02,2025-06-04,232 steel/aluminum + derivatives 50% (Proclamation 10947 eff. Jun 4),NA
rev_15,2025-05-14,2025-06-23,NA,NA
rev_16,2025-06-06,2025-07-01,Annual July 1 staged updates (the 232 50% increase entered at rev_14),NA
rev_17,2025-07-01,2025-08-01,CA fentanyl: 25% -> 35%; copper 232 (Proclamation 10962) both eff. Aug 1,NA
rev_18,2025-08-07,NA,IEEPA Phase 2 reciprocal; Brazil EO (+40%); Phase 1 unsuspended,NA
rev_19,2025-08-12,2025-08-18,232 derivative inclusions (eff. Aug 18),NA
rev_20,2025-08-20,2025-08-27,India EO second +25% (eff. Aug 27),NA
rev_21,2025-08-28,2025-09-02,NA,NA
